1745369764.902943 server started (52921): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1745369764.902976 on Linux 6.14.2-300.fc42.x86_64 #1 SMP PREEMPT_DYNAMIC Thu Apr 10 21:50:55 UTC 2025
1745369764.902993 using libevent 2.1.12-stable poll
1745369764.902999 using ncurses 6.5 20240629
1745369764.903311 input_key_build: 0x10e1b8 (KP3) is 3
1745369764.903316 input_key_build: 0x10e1b9 (KPEnter) is \n
1745369764.903321 input_key_build: 0x10e1ba (KP0) is 0
1745369764.903326 input_key_build: 0x10e1bb (KP.) is .
1745369764.903333 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1745369764.903339 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1745369764.903344 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1745369764.903349 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1745369764.903353 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1745369764.903358 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1745369764.903363 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1745369764.903368 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1745369764.903373 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1745369764.903378 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1745369764.903383 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1745369764.903388 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1745369764.903393 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1745369764.903399 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1745369764.903404 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1745369764.903408 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1745369764.903413 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1745369764.903417 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1745369764.903422 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1745369764.903427 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1745369764.903441 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1745369764.903454 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1745369764.903460 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1745369764.903465 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1745369764.903469 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1745369764.903474 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1745369764.903479 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1745369764.903483 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1745369764.903488 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1745369764.903493 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1745369764.903497 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1745369764.903502 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1745369764.903507 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1745369764.903511 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1745369764.903519 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1745369764.903525 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1745369764.903530 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1745369764.903535 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1745369764.903539 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1745369764.903544 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1745369764.903549 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1745369764.903554 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1745369764.903559 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1745369764.903563 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1745369764.903568 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1745369764.903573 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1745369764.903577 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1745369764.903582 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1745369764.903587 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1745369764.903592 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1745369764.903597 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1745369764.903601 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1745369764.903606 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1745369764.903611 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1745369764.903616 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1745369764.903620 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1745369764.903625 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1745369764.903630 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1745369764.903635 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1745369764.903640 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1745369764.903644 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1745369764.903649 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1745369764.903654 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1745369764.903659 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1745369764.903663 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1745369764.903668 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1745369764.903673 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1745369764.903679 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1745369764.903684 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1745369764.903689 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1745369764.903694 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1745369764.903699 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1745369764.903704 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1745369764.903709 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1745369764.903713 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1745369764.903718 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1745369764.903723 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1745369764.903733 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1745369764.903740 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1745369764.903746 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1745369764.903751 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1745369764.903756 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1745369764.903761 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1745369764.903766 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1745369764.903771 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1745369764.903777 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1745369764.903783 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1745369764.903789 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1745369764.903794 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1745369764.903800 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1745369764.903805 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1745369764.903811 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1745369764.903817 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1745369764.903823 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1745369764.903829 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1745369764.903835 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1745369764.903840 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1745369764.903846 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1745369764.903852 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1745369764.903861 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1745369764.903868 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1745369764.903874 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1745369764.903879 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1745369764.903885 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1745369764.903891 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1745369764.903896 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1745369764.903902 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1745369764.903907 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1745369764.903913 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1745369764.903919 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1745369764.903924 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1745369764.903930 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1745369764.903935 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1745369764.903941 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1745369764.903947 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1745369764.903952 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1745369764.903958 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1745369764.903963 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1745369764.903969 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1745369764.903974 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1745369764.903980 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1745369764.903986 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1745369764.903991 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1745369764.903997 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1745369764.904012 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1745369764.904021 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1745369764.904026 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1745369764.904032 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1745369764.904038 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1745369764.904043 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1745369764.904049 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1745369764.904061 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1745369764.904070 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1745369764.904076 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1745369764.904081 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1745369764.904087 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1745369764.904093 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1745369764.904099 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1745369764.904105 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1745369764.904111 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1745369764.904116 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1745369764.904122 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1745369764.904128 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1745369764.904133 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1745369764.904139 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1745369764.904145 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1745369764.904150 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1745369764.904156 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1745369764.904162 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1745369764.904167 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1745369764.904173 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1745369764.904183 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1745369764.904189 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1745369764.904195 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1745369764.904201 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1745369764.904207 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1745369764.904213 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1745369764.904218 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1745369764.904224 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1745369764.904229 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1745369764.904235 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1745369764.904241 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1745369764.904246 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1745369764.904252 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1745369764.904258 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1745369764.904264 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1745369764.904269 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1745369764.904275 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1745369764.904281 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1745369764.904287 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1745369764.904292 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1745369764.904298 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1745369764.904304 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1745369764.904309 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1745369764.904332 yylex_token: end at WS
1745369764.904338 yylex_token: bind
1745369764.904345 yylex_token: end at WS
1745369764.904350 yylex_token: -N
1745369764.904356 yylex_token: end at WS
1745369764.904361 yylex_token: Send the prefix key
1745369764.904366 yylex_token: end at WS
1745369764.904371 yylex_token: C-b
1745369764.904377 yylex_token: end at WS
1745369764.904382 yylex_token: send-prefix
1745369764.904395 cmd_parse_build_commands 0:0: bind
1745369764.904400 cmd_parse_build_commands 0:1: -N
1745369764.904405 cmd_parse_build_commands 0:2: Send the prefix key
1745369764.904410 cmd_parse_build_commands 0:3: C-b
1745369764.904415 cmd_parse_build_commands 0:4 0:0: send-prefix
1745369764.904428 cmd_parse_build_commands 0:0: send-prefix
1745369764.904444 args_parse: flags end at 1 of 1
1745369764.904454 cmd_parse_build_commands: send-prefix
1745369764.904460 args_parse_flags: next -N
1745369764.904465 args_parse_flag_argument: -N = Send the prefix key
1745369764.904470 args_parse_flags: next C-b
1745369764.904475 args_parse: flags end at 3 of 5
1745369764.904481 args_parse: 3 = C-b (type STRING)
1745369764.904487 args_parse: 4 = send-prefix (type COMMANDS)
1745369764.904506 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1745369764.904515 cmdq_get_command: [bind-key/0x562621e658c0] group 2
1745369764.904521 cmdq_append <global>: [bind-key/0x562621e658c0]
1745369764.904528 yylex_token: end at WS
1745369764.904533 yylex_token: bind
1745369764.904538 yylex_token: end at WS
1745369764.904542 yylex_token: -N
1745369764.904550 yylex_token: end at WS
1745369764.904556 yylex_token: Rotate through the panes
1745369764.904561 yylex_token: end at WS
1745369764.904566 yylex_token: C-o
1745369764.904571 yylex_token: end at WS
1745369764.904576 yylex_token: rotate-window
1745369764.904582 cmd_parse_build_commands 0:0: bind
1745369764.904587 cmd_parse_build_commands 0:1: -N
1745369764.904591 cmd_parse_build_commands 0:2: Rotate through the panes
1745369764.904596 cmd_parse_build_commands 0:3: C-o
1745369764.904600 cmd_parse_build_commands 0:4 0:0: rotate-window
1745369764.904604 cmd_parse_build_commands 0:0: rotate-window
1745369764.904610 args_parse: flags end at 1 of 1
1745369764.904614 cmd_parse_build_commands: rotate-window
1745369764.904617 args_parse_flags: next -N
1745369764.904621 args_parse_flag_argument: -N = Rotate through the panes
1745369764.904624 args_parse_flags: next C-o
1745369764.904627 args_parse: flags end at 3 of 5
1745369764.904631 args_parse: 3 = C-o (type STRING)
1745369764.904635 args_parse: 4 = rotate-window (type COMMANDS)
1745369764.904643 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1745369764.904647 cmdq_get_command: [bind-key/0x562621e62770] group 10
1745369764.904651 cmdq_append <global>: [bind-key/0x562621e62770]
1745369764.904656 yylex_token: end at WS
1745369764.904659 yylex_token: bind
1745369764.904662 yylex_token: end at WS
1745369764.904665 yylex_token: -N
1745369764.904669 yylex_token: end at WS
1745369764.904672 yylex_token: Suspend the current client
1745369764.904676 yylex_token: end at WS
1745369764.904679 yylex_token: C-z
1745369764.904682 yylex_token: end at WS
1745369764.904685 yylex_token: suspend-client
1745369764.904689 cmd_parse_build_commands 0:0: bind
1745369764.904693 cmd_parse_build_commands 0:1: -N
1745369764.904696 cmd_parse_build_commands 0:2: Suspend the current client
1745369764.904700 cmd_parse_build_commands 0:3: C-z
1745369764.904703 cmd_parse_build_commands 0:4 0:0: suspend-client
1745369764.904708 cmd_parse_build_commands 0:0: suspend-client
1745369764.904714 args_parse: flags end at 1 of 1
1745369764.904718 cmd_parse_build_commands: suspend-client
1745369764.904721 args_parse_flags: next -N
1745369764.904724 args_parse_flag_argument: -N = Suspend the current client
1745369764.904728 args_parse_flags: next C-z
1745369764.904731 args_parse: flags end at 3 of 5
1745369764.904734 args_parse: 3 = C-z (type STRING)
1745369764.904738 args_parse: 4 = suspend-client (type COMMANDS)
1745369764.904745 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1745369764.904749 cmdq_get_command: [bind-key/0x562621e64d60] group 18
1745369764.904753 cmdq_append <global>: [bind-key/0x562621e64d60]
1745369764.904757 yylex_token: end at WS
1745369764.904760 yylex_token: bind
1745369764.904763 yylex_token: end at WS
1745369764.904766 yylex_token: -N
1745369764.904770 yylex_token: end at WS
1745369764.904773 yylex_token: Select next layout
1745369764.904776 yylex_token: end at WS
1745369764.904779 yylex_token: Space
1745369764.904782 yylex_token: end at WS
1745369764.904785 yylex_token: next-layout
1745369764.904789 cmd_parse_build_commands 0:0: bind
1745369764.904792 cmd_parse_build_commands 0:1: -N
1745369764.904799 cmd_parse_build_commands 0:2: Select next layout
1745369764.904804 cmd_parse_build_commands 0:3: Space
1745369764.904808 cmd_parse_build_commands 0:4 0:0: next-layout
1745369764.904812 cmd_parse_build_commands 0:0: next-layout
1745369764.904817 args_parse: flags end at 1 of 1
1745369764.904821 cmd_parse_build_commands: next-layout
1745369764.904824 args_parse_flags: next -N
1745369764.904828 args_parse_flag_argument: -N = Select next layout
1745369764.904831 args_parse_flags: next Space
1745369764.904834 args_parse: flags end at 3 of 5
1745369764.904838 args_parse: 3 = Space (type STRING)
1745369764.904842 args_parse: 4 = next-layout (type COMMANDS)
1745369764.904848 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1745369764.904852 cmdq_get_command: [bind-key/0x562621e65180] group 26
1745369764.904856 cmdq_append <global>: [bind-key/0x562621e65180]
1745369764.904860 yylex_token: end at WS
1745369764.904863 yylex_token: bind
1745369764.904866 yylex_token: end at WS
1745369764.904869 yylex_token: -N
1745369764.904873 yylex_token: end at WS
1745369764.904876 yylex_token: Break pane to a new window
1745369764.904879 yylex_token: end at WS
1745369764.904882 yylex_token: !
1745369764.904885 yylex_token: end at WS
1745369764.904888 yylex_token: break-pane
1745369764.904892 cmd_parse_build_commands 0:0: bind
1745369764.904895 cmd_parse_build_commands 0:1: -N
1745369764.904899 cmd_parse_build_commands 0:2: Break pane to a new window
1745369764.904902 cmd_parse_build_commands 0:3: !
1745369764.904905 cmd_parse_build_commands 0:4 0:0: break-pane
1745369764.904910 cmd_parse_build_commands 0:0: break-pane
1745369764.904914 args_parse: flags end at 1 of 1
1745369764.904917 cmd_parse_build_commands: break-pane
1745369764.904921 args_parse_flags: next -N
1745369764.904924 args_parse_flag_argument: -N = Break pane to a new window
1745369764.904927 args_parse_flags: next !
1745369764.904931 args_parse: flags end at 3 of 5
1745369764.904934 args_parse: 3 = ! (type STRING)
1745369764.904938 args_parse: 4 = break-pane (type COMMANDS)
1745369764.904944 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1745369764.904948 cmdq_get_command: [bind-key/0x562621e65f90] group 34
1745369764.904952 cmdq_append <global>: [bind-key/0x562621e65f90]
1745369764.904956 yylex_token: end at WS
1745369764.904959 yylex_token: bind
1745369764.904962 yylex_token: end at WS
1745369764.904965 yylex_token: -N
1745369764.904969 yylex_token: end at WS
1745369764.904972 yylex_token: Split window vertically
1745369764.904975 yylex_token: end at WS
1745369764.904978 yylex_token: "
1745369764.904981 yylex_token: end at WS
1745369764.904984 yylex_token: split-window
1745369764.904988 cmd_parse_build_commands 0:0: bind
1745369764.904991 cmd_parse_build_commands 0:1: -N
1745369764.904995 cmd_parse_build_commands 0:2: Split window vertically
1745369764.904998 cmd_parse_build_commands 0:3: "
1745369764.905001 cmd_parse_build_commands 0:4 0:0: split-window
1745369764.905011 cmd_parse_build_commands 0:0: split-window
1745369764.905017 args_parse: flags end at 1 of 1
1745369764.905021 cmd_parse_build_commands: split-window
1745369764.905024 args_parse_flags: next -N
1745369764.905027 args_parse_flag_argument: -N = Split window vertically
1745369764.905031 args_parse_flags: next "
1745369764.905034 args_parse: flags end at 3 of 5
1745369764.905037 args_parse: 3 = " (type STRING)
1745369764.905041 args_parse: 4 = split-window (type COMMANDS)
1745369764.905048 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1745369764.905052 cmdq_get_command: [bind-key/0x562621e66740] group 42
1745369764.905055 cmdq_append <global>: [bind-key/0x562621e66740]
1745369764.905060 yylex_token: end at WS
1745369764.905063 yylex_token: bind
1745369764.905066 yylex_token: end at WS
1745369764.905069 yylex_token: -N
1745369764.905073 yylex_token: end at WS
1745369764.905076 yylex_token: List all paste buffers
1745369764.905079 yylex_token: end at WS
1745369764.905082 yylex_token: #
1745369764.905089 yylex_token: end at WS
1745369764.905094 yylex_token: list-buffers
1745369764.905098 cmd_parse_build_commands 0:0: bind
1745369764.905101 cmd_parse_build_commands 0:1: -N
1745369764.905105 cmd_parse_build_commands 0:2: List all paste buffers
1745369764.905108 cmd_parse_build_commands 0:3: #
1745369764.905112 cmd_parse_build_commands 0:4 0:0: list-buffers
1745369764.905116 cmd_parse_build_commands 0:0: list-buffers
1745369764.905120 args_parse: flags end at 1 of 1
1745369764.905124 cmd_parse_build_commands: list-buffers
1745369764.905127 args_parse_flags: next -N
1745369764.905131 args_parse_flag_argument: -N = List all paste buffers
1745369764.905134 args_parse_flags: next #
1745369764.905137 args_parse: flags end at 3 of 5
1745369764.905141 args_parse: 3 = # (type STRING)
1745369764.905144 args_parse: 4 = list-buffers (type COMMANDS)
1745369764.905153 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1745369764.905157 cmdq_get_command: [bind-key/0x562621e66cb0] group 50
1745369764.905160 cmdq_append <global>: [bind-key/0x562621e66cb0]
1745369764.905165 yylex_token: end at WS
1745369764.905168 yylex_token: bind
1745369764.905171 yylex_token: end at WS
1745369764.905174 yylex_token: -N
1745369764.905178 yylex_token: end at WS
1745369764.905181 yylex_token: Rename current session
1745369764.905184 yylex_token: end at WS
1745369764.905187 yylex_token: $
1745369764.905190 yylex_token: end at WS
1745369764.905193 yylex_token: command-prompt
1745369764.905196 yylex_token: end at WS
1745369764.905199 yylex_token: -I#S
1745369764.905203 yylex_token: end at WS
1745369764.905206 yylex_token: rename-session
1745369764.905209 yylex_token: end at WS
1745369764.905212 yylex_token: --
1745369764.905215 yylex_token: end at WS
1745369764.905218 yylex_token: %%
